### ChExMix output
#Condition	Name	Index	TotalSigCount	SigCtrlScaling	SignalFraction
#Condition	SAMPLE	0	3649046.0	0.655	0.599
#Replicate	ParentCond	Name	Index	SigCount	CtrlCount	SigCtrlScaling	SignalFraction
#Replicate	SAMPLE	SAMPLE:1	0	3649046.0	5052701.0	0.6554	0.599
#
#Point	SAMPLE_Sig	SAMPLE_Ctrl	SAMPLE_log2Fold	SAMPLE_log2Q	ActiveConds
chrec2:3654329	18439.7	13190.2	1.093	-Infinity	1
chrec2:3695174	17332.3	4207.8	2.652	-Infinity	1
chrec2:3601334	16677.6	11191.0	1.185	-Infinity	1
chrec2:3470205	16387.6	10805.4	1.210	-Infinity	1
chrec2:3920545	16329.6	4154.7	2.584	-Infinity	1
chrec2:3461308	16126.7	7950.5	1.630	-Infinity	1
chrec2:3470323	15199.4	4620.0	2.328	-Infinity	1
chrec2:3601451	15178.8	4837.9	2.259	-Infinity	1
chrec2:3318234	14278.3	3821.2	2.511	-Infinity	1
chrec2:4211469	13903.1	7481.6	1.504	-Infinity	1
chrec2:2729996	13590.7	9668.5	1.101	-Infinity	1
chrec2:3322451	13333.0	6648.1	1.614	-Infinity	1
chrec2:3586794	13273.3	2840.2	2.834	-Infinity	1
chrec2:3377435	13051.1	1415.6	3.814	-Infinity	1
chrec2:4211361	13010.7	2864.0	2.793	-Infinity	1
chrec2:3828594	12937.1	4216.6	2.227	-Infinity	1
chrec2:4429690	12707.7	2632.5	2.881	-Infinity	1
chrec2:223586	12523.9	9107.6	1.069	-Infinity	1
chrec2:2730112	12052.7	3810.9	2.271	-Infinity	1
chrec2:1051139	12032.7	1324.3	3.793	-Infinity	1
chrec2:4611122	11690.8	7232.3	1.302	-Infinity	1
chrec2:3695055	11669.7	7367.5	1.273	-Infinity	1
chrec2:1032146	11544.2	3709.0	2.248	-Infinity	1
chrec2:3428717	11519.7	8465.9	1.054	-Infinity	1
chrec2:3458333	11229.1	2348.8	2.867	-Infinity	1
chrec2:3428826	10941.4	3173.7	2.395	-Infinity	1
chrec2:4186968	10893.6	3769.5	2.141	-Infinity	1
chrec2:2273129	10823.6	1038.5	3.991	-Infinity	1
chrec2:4039404	10666.9	2130.0	2.934	-Infinity	1
chrec2:2754224	10387.8	2749.8	2.527	-Infinity	1
chrec2:3931747	10366.8	4622.6	1.775	-Infinity	1
chrec2:259484	10340.5	1690.2	3.223	-Infinity	1
chrec2:21215	10171.9	1575.5	3.300	-Infinity	1
chrec2:223476	9879.4	3755.4	2.005	-Infinity	1
chrec2:4396982	9783.4	5444.9	1.455	-Infinity	1
chrec2:697595	9764.0	6376.1	1.224	-Infinity	1
chrec2:4501088	9409.9	2251.1	2.673	-Infinity	1
chrec2:3109870	9385.6	1624.8	3.140	-Infinity	1
chrec2:262043	9291.0	2480.4	2.515	-Infinity	1
chrec2:2619572	9251.2	968.4	3.866	-Infinity	1
chrec2:4367317	9096.1	4448.9	1.641	-Infinity	1
chrec2:4192188	8790.5	4412.8	1.604	-Infinity	1
chrec2:4165789	8790.0	2565.0	2.387	-Infinity	1
chrec2:3333378	8592.4	3592.8	1.868	-Infinity	1
chrec2:3209295	8583.0	1667.1	2.974	-Infinity	1
chrec2:2060258	8452.9	5584.4	1.208	-Infinity	1
chrec2:106500	8435.4	2338.1	2.461	-Infinity	1
chrec2:3457077	8113.3	4449.2	1.476	-Infinity	1
chrec2:236903	7983.9	4510.1	1.434	-Infinity	1
chrec2:2946070	7635.7	5230.1	1.156	-Infinity	1
chrec2:4397025	7495.3	3335.8	1.778	-Infinity	1
chrec2:3109012	7429.3	3544.5	1.677	-Infinity	1
chrec2:4624233	7414.4	1040.0	3.443	-Infinity	1
chrec2:926436	7386.4	3506.9	1.684	-Infinity	1
chrec2:4577028	7165.6	272.3	5.327	-Infinity	1
chrec2:21127	6966.8	1989.2	2.418	-Infinity	1
chrec2:2997736	6913.7	2814.5	1.906	-Infinity	1
chrec2:3378671	6867.4	2214.6	2.242	-Infinity	1
chrec2:2662051	6844.7	2374.7	2.137	-Infinity	1
chrec2:2946027	6840.7	3519.1	1.569	-Infinity	1
chrec2:189706	6679.0	1357.1	2.909	-Infinity	1
chrec2:2526359	6651.4	3799.7	1.417	-Infinity	1
chrec2:3756179	6438.7	1591.0	2.627	-Infinity	1
chrec2:3318159	6397.2	2684.6	1.862	-Infinity	1
chrec2:2632838	6301.1	865.5	3.474	-Infinity	1
chrec2:2536743	6214.4	674.6	3.813	-Infinity	1
chrec2:16934	6188.4	826.8	3.514	-Infinity	1
chrec2:2632770	6089.0	1456.0	2.674	-Infinity	1
chrec2:3943685	5984.2	786.5	3.537	-Infinity	1
